Name,Train_test,SMILES,Solvent,Type,N,sol_PCA1,sol_PCA2,sol_PCA3,sol_PCA4,sol_PCA5,N_HOMO,N_LUMO,N_DM,N_EB,N_EA_H,N_EA_nonH,N_TCA,N_BAD,N_fukui,N_fukui_Li,N_fukui_charge,N_HOMO_PM6,N_LUMO_PM6,N_DM_PM6,N_EB_PM6,N_EA_H_PM6,N_EA_nonH_PM6
molecule_1291,Train,O=C1[C-](C(OCC)=O)CCCCCCCCCC1,dimethylsulfoxide,C-Anion,20.6,-7.2,4,-4,2.6,0.6,-0.07685,0.19491,5.0814,-0.74534,0.24728,0.80193,214.0960317,101.0693068,-0.193926461,-0.193924,-0.129413,-0.1569,0.19049,6.1054,-0.698915,0.189482,0.728707
molecule_1292,Train,O=C1OCCC([C-]1C)=O,dimethylsulfoxide,C-Anion,14.46,-7.2,4,-4,2.6,0.6,-0.06446,0.21743,3.4033,-0.72979,0.2186,0.809,218.8318389,98.56523543,-0.203355218,-0.20326,-0.143626,-0.15579,0.19054,3.5233,-0.68379,0.166788,0.740241
molecule_1293,Train,O=C([C-]1CCCOC1=O)C,dimethylsulfoxide,C-Anion,17,-7.2,4,-4,2.6,0.6,-0.06031,0.21405,7.5463,-0.71597,0.21457,0.8114,206.993569,113.0891326,-0.215975099,-0.215988,-0.15905,-0.15336,0.20564,9.3278,-0.713694,0.163162,0.76126
molecule_1294,Train,Fc1c(F)c(F)c([BH-](c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c1F,acetonitrile,H-Donor,10.04,-4.7,-4.7,-3.3,-0.3,4.3,-0.18458,0.11582,0.9015,-0.36322,0.01154,0.40138,215.8693928,79.36329307,-0.069613083,-0.014463,-0.104115,-0.24674,0.07495,0.3985,-0.523786,0.157762,0.089654
molecule_1295,Train,Fc1cc(F)c([BH-](c2c(F)cc(F)cc2F)c3c(F)cc(F)cc3F)c(F)c1,acetonitrile,H-Donor,14.13,-4.7,-4.7,-3.3,-0.3,4.3,-0.15732,0.14106,1.6563,-0.40226,0.24197,0.48711,215.5305087,78.98619236,-0.107777119,-0.1064,-0.111294,-0.21711,0.10273,0.988,-0.505994,0.186746,0.279183
molecule_1296,Train,Fc1cccc(F)c1[BH-](c2c(F)cccc2F)c3c(F)cccc3F,acetonitrile,H-Donor,13.97,-4.7,-4.7,-3.3,-0.3,4.3,-0.14871,0.14448,2.3602,-0.366,0.22505,0.47237,215.2920827,78.99601844,-0.078436022,-0.017597,-0.111237,-0.20161,0.1251,1.7506,-0.552423,0.155243,0.197855
molecule_1298,Test,CC(C)[C-](C(OCC)=O)C(OCC)=O,dimethylsulfoxide,C-Anion,18.74,-7.2,4,-4,2.6,0.6,-0.06734,0.20673,4.2277,-0.70064,0.24552,0.81664,215.8724067,149.6952192,-0.216216497,-0.216055,-0.14422,-0.16142,0.19816,5.7113,-0.675141,0.166898,0.747331
molecule_1299,Train,CCCC[C-](C(OCC)=O)C(OCC)=O,dimethylsulfoxide,C-Anion,23,-7.2,4,-4,2.6,0.6,-0.06373,0.19259,6.4165,-0.70353,0.218,0.81736,211.3650273,106.1311132,-0.21997195,-0.219295,-0.151793,-0.15704,0.19722,7.9178,-0.65265,0.158545,0.735768
molecule_130,Train,C=C1CCCCCCCCCC1,dichloromethane,C-Pi,2.33,-0.7,-6.5,-1.3,1.3,2,-0.29678,0.05737,0.6024,-0.45717,0.23575,-0.02266,118.940196,70.22262461,-0.243723192,-0.248042,-0.114946,-0.35196,0.05417,0.8868,-0.471858,0.159133,0.153799
molecule_1300,Test,O=C([C-](C1CCCCC1)C(OCC)=O)OCC,dimethylsulfoxide,C-Anion,19.23,-7.2,4,-4,2.6,0.6,-0.07045,0.19235,6.5991,-0.69865,0.24702,0.81946,216.1178064,151.3527631,-0.214499939,-0.214299,-0.14366,-0.16368,0.19581,8.2512,-0.677547,0.159407,0.743133
molecule_1301,Train,O=C([C-](C1=CC=CC=C1)C(OCC)=O)OCC,dimethylsulfoxide,C-Anion,15.93,-7.2,4,-4,2.6,0.6,-0.07534,0.16293,4.4734,-0.68525,0.22526,0.82988,209.6814605,121.2117624,-0.192771278,-0.191953,-0.143841,-0.16167,0.1488,3.8809,-0.692966,0.178887,0.753309
molecule_1302,Test,O=C([C-](C1=CC=C([N+]([O-])=O)C=C1)C(OCC)=O)OCC,dimethylsulfoxide,C-Anion,14.94,-7.2,4,-4,2.6,0.6,-0.09729,0.08281,5.7755,-0.70547,0.25505,0.85483,227.8043507,106.3735348,-0.165169968,-0.164349,-0.124359,-0.19239,0.07979,7.1627,-0.671095,0.204657,0.874747
molecule_1303,Train,O=C([C-](C(OCC)=O)C(OCC)=O)OCC,dimethylsulfoxide,C-Anion,15.33,-7.2,4,-4,2.6,0.6,-0.09419,0.19529,4.792,-0.68542,0.21883,0.85074,205.8846236,104.1620526,-0.234324081,-0.232698,-0.154785,-0.20074,0.17774,5.1581,-0.773979,0.173694,0.811003
molecule_1304,Train,O=C(C)[C-](C(OCC)=O)C(OCC)=O,dimethylsulfoxide,C-Anion,13.83,-7.2,4,-4,2.6,0.6,-0.09038,0.20009,2.6579,-0.70306,0.2256,0.87411,223.0356898,104.630427,-0.224969331,-0.223892,-0.153513,-0.19425,0.17941,4.7,-0.790572,0.185882,0.807797
molecule_1305,Train,O=C(C1=CC=CC=C1)[C-](C(OCC)=O)C(OCC)=O,dimethylsulfoxide,C-Anion,13.63,-7.2,4,-4,2.6,0.6,-0.10168,0.12951,5.6095,-0.69266,0.23725,0.85692,225.8857286,119.3174459,-0.22001332,-0.219153,-0.147471,-0.20187,0.12384,5.2383,-0.773244,0.181642,0.810907
molecule_1306,Train,O=C1[C-](C(OC(C)(C)O1)=O)C2=CC=CC=C2,dimethylsulfoxide,C-Anion,11.54,-7.2,4,-4,2.6,0.6,-0.08758,0.16625,3.1314,-0.68701,0.25451,0.83149,215.2282125,106.1563316,-0.155999196,-0.155555,-0.136405,-0.17349,0.14438,3.403,-0.741401,0.190364,0.770252
molecule_1307,Train,O=C1[C-](C(OC(C)(C)O1)=O)C2=CC=C(OC)C=C2,dimethylsulfoxide,C-Anion,12.35,-7.2,4,-4,2.6,0.6,-0.08279,0.16393,2.879,-0.69137,0.2568,0.82954,216.2956335,109.5970865,-0.140539935,-0.140103,-0.137911,-0.16725,0.13265,3.9558,-0.7259,0.189524,0.767826
molecule_1308,Train,O=C([C-](C1=CC=C(OC)C=C1)C(OCC)=O)OCC,dimethylsulfoxide,C-Anion,16.73,-7.2,4,-4,2.6,0.6,-0.07209,0.16598,3.5785,-0.73236,0.24119,0.83432,207.6063594,116.6526938,-0.175347638,-0.174378,-0.143443,-0.15814,0.13801,3.4832,-0.674785,0.211179,0.763987
molecule_131,Train,C=C1CCCCCCCCCCC1,dichloromethane,C-Pi,1.52,-0.7,-6.5,-1.3,1.3,2,-0.29393,0.04379,0.4386,-0.45627,0.24312,-0.0272,206.1374489,75.07996649,-0.222450767,-0.226188,-0.107577,-0.34826,0.05546,0.7986,-0.473615,0.159216,0.164216
molecule_1311,Train,[H][C@@](C1=CN=CC=C1)(CCC2)N2C,dichloromethane,N-SP2,10.4,-0.7,-6.5,-1.3,1.3,2,-0.28131,0.01259,2.7732,-0.58441,0.23362,0.06453,137.8876106,64.83037123,-0.255578142,-0.037023,-0.198168,-0.33041,0.00566,4.1882,-0.335425,0.189998,0.049015
molecule_1313,Test,CC1=CN=CC=C1,dichloromethane,N-SP2,10.9,-0.7,-6.5,-1.3,1.3,2,-0.30806,0.00957,2.4385,-0.64632,0.23364,0.0569,140.7168824,64.90024867,-0.148836249,-0.060677,-0.198002,-0.35635,-0.001,2.8307,-0.481645,0.169182,0.011659
molecule_1315,Train,CN1CCCC1C2=CC=CC=C2,dichloromethane,N-SP3,16.8,-0.7,-6.5,-1.3,1.3,2,-0.27698,0.02814,0.6758,-0.58528,0.24245,-0.03988,221.5477274,136.0495106,-0.264071004,-0.265972,-0.152968,-0.32411,0.02099,2.0587,-0.336364,0.171461,0.024493
molecule_1318,Train,C1(N2CCOCC2)=CC=NC=C1,dichloromethane,N-SP2,14.59,-0.7,-6.5,-1.3,1.3,2,-0.27206,0.02412,2.9633,-0.61108,0.23053,0.22566,138.7530295,64.04991492,-0.164214722,-0.104795,-0.21956,-0.32259,0.00124,2.8575,-0.439473,0.175427,0.341581
molecule_132,Train,C=C1CCCCCCCCCCCCCC1,dichloromethane,C-Pi,1.69,-0.7,-6.5,-1.3,1.3,2,-0.2975,0.06027,0.5923,-0.46122,0.23682,-0.01415,222.1793079,71.79541291,-0.249490306,-0.2532,-0.116654,-0.35284,0.05272,0.9074,-0.464372,0.159257,0.142187
molecule_1329,Train,O=C1OC(C)(C)OC([C-]1[I+]C2=CC=CC=C2)=O,dichloromethane,C-I,4.36,-0.7,-6.5,-1.3,1.3,2,-0.27843,-0.03416,3.8813,-0.72217,0.27589,0.99874,215.896134,102.7284104,-0.202302067,-0.197239,-0.076699,-0.35758,-0.08148,6.3108,-0.699875,0.219955,0.761506
molecule_133,Train,C=C(N(O[Si](C)(C)C)O[Si](C)(C)C)C,dichloromethane,C-Pi,4.76,-0.7,-6.5,-1.3,1.3,2,-0.26504,0.05576,0.6759,-1.21176,0.26595,2.00781,227.2572942,121.6928447,-0.165343418,-0.166166,-0.12837,-0.33188,0.00258,1.9425,-0.651646,0.185292,0.637383
molecule_1330,Train,O=C1CC(C)(C)CC([C-]1[I+]C2=CC=CC=C2)=O,dichloromethane,C-I,6.18,-0.7,-6.5,-1.3,1.3,2,-0.26508,-0.02902,3.4435,-0.67054,0.28157,0.9381,211.446494,108.8473999,-0.185346536,-0.181513,-0.052579,-0.34674,-0.05482,1.555,-0.638359,0.19856,0.624934
molecule_1331,Train,O=C([C-](C(N1C)=O)[I+]C2=CC=CC=C2)N(C)C1=O,dichloromethane,C-I,7.98,-0.7,-6.5,-1.3,1.3,2,-0.27558,-0.03802,6.2564,-0.7001,0.27921,1.00255,225.2086323,102.7333022,-0.19448665,-0.189784,-0.062648,-0.35095,-0.08224,8.2463,-0.639709,0.221324,0.717742
molecule_1332,Train,O=C1OC(C)CC([C-]1[I+]C2=CC=CC=C2)=O,dichloromethane,C-I,4.67,-0.7,-6.5,-1.3,1.3,2,-0.27175,-0.03039,3.3422,-0.67178,0.28068,0.96994,227.6572631,102.7986875,-0.322345471,-0.054301,-0.068314,-0.34627,-0.07386,4.5838,-0.650013,0.222762,0.73962
molecule_1333,Train,O=S([CH-]S(=O)(C1=CC=CC=C1)=O)(C2=CC=CC=C2)=O,dimethylsulfoxide,C-Anion,15.68,-7.2,4,-4,2.6,0.6,-0.1216,0.11359,9.9012,-1.13104,0.27345,2.16746,205.8232599,93.02819383,-0.257617846,-0.262338,-0.253572,-0.22848,0.10063,11.4241,-1.667426,0.281414,2.655274
molecule_1334,Train,F[C-](S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,dimethylsulfoxide,C-Anion,17.46,-7.2,4,-4,2.6,0.6,-0.11356,0.10725,8.4329,-0.97769,0.25659,2.10208,219.0085025,120.5528951,-0.267228694,-0.269225,-0.172788,-0.21521,0.09733,11.3985,-1.34054,0.191635,2.597849
molecule_1335,Train,O=S([C-](OC)S(=O)(C1=CC=CC=C1)=O)(C2=CC=CC=C2)=O,dimethylsulfoxide,C-Anion,17.29,-7.2,4,-4,2.6,0.6,-0.10565,0.1091,10.3501,-0.99796,0.27561,2.1438,193.4654865,79.0292583,-0.207221913,-0.210899,-0.11988,-0.20162,0.0973,11.8049,-1.228976,0.183379,2.578863
molecule_1336,Train,O=S(C1=C(C=CC=C1)S2(=O)=O)([CH-]2)=O,dimethylsulfoxide,C-Anion,16.06,-7.2,4,-4,2.6,0.6,-0.10513,0.11392,6.4507,-1.13767,0.26216,2.13716,210.556713,94.82066926,-0.254157309,-0.258392,-0.260498,-0.22184,0.10038,6.8501,-1.646957,0.270903,2.608434
molecule_1337,Train,F[C-]1S(C2=C(C=CC=C2)S(=O)1=O)(=O)=O,dimethylsulfoxide,C-Anion,19.03,-7.2,4,-4,2.6,0.6,-0.10981,0.10219,8.0921,-0.97283,0.2454,2.06239,219.555941,81.23488219,-0.292777353,-0.293641,-0.178391,-0.21149,0.09481,7.9885,-1.32756,0.144092,2.555472
molecule_1338,Train,O=S(C1=C(C=CC=C1)S2(=O)=O)([C-]2OC)=O,dimethylsulfoxide,C-Anion,17.36,-7.2,4,-4,2.6,0.6,-0.11852,0.11496,6.5257,-0.97567,0.23978,2.11145,217.6465153,92.64809093,-0.213831796,-0.277555,-0.173992,-0.16162,0.09954,8.7974,-0.795129,0.178824,1.35637
molecule_1339,Train,O=S([CH-]C(OCC)=O)(C1=CC=CC=C1)=O,dimethylsulfoxide,C-Anion,18.81,-7.2,4,-4,2.6,0.6,-0.09898,0.13485,6.1179,-1.0159,0.27472,2.16373,153.72799,98.24316128,-0.261307348,-0.263487,-0.230186,-0.20113,0.11556,7.2426,-1.230442,0.253804,2.580691
molecule_134,Train,C=C(N(O[Si](C)(C)C)O[Si](C)(C)C)C1=CC=CC=C1,dichloromethane,C-Pi,4.8,-0.7,-6.5,-1.3,1.3,2,-0.26584,0.00411,0.8194,-1.21116,0.26455,2.00715,229.9765208,123.6030453,-0.162883707,-0.166139,-0.115263,-0.33285,-0.00203,1.4967,-0.65119,0.185723,0.636641
molecule_1340,Train,F[C-](C(OCC)=O)S(=O)(C1=CC=CC=C1)=O,dimethylsulfoxide,C-Anion,20.51,-7.2,4,-4,2.6,0.6,-0.09018,0.12786,6.5355,-0.99567,0.27226,2.12038,151.6589163,89.83025533,-0.227631426,-0.227645,-0.097712,-0.19016,0.11031,7.0055,-1.013546,0.18244,2.529566
molecule_1341,Train,O=S([C-](OC)C(OCC)=O)(C1=CC=CC=C1)=O,dimethylsulfoxide,C-Anion,19.15,-7.2,4,-4,2.6,0.6,-0.08732,0.13113,4.4055,-1.00971,0.27421,2.13639,250.6088895,150.0744053,-0.206041344,-0.208517,-0.090147,-0.1812,0.11317,5.6642,-1.005522,0.183355,2.492304
molecule_1342,Train,F[C-](C(OCC)=O)C(OCC)=O,dimethylsulfoxide,C-Anion,20.63,-7.2,4,-4,2.6,0.6,-0.062,0.21578,2.9894,-0.7095,0.21026,0.73852,153.1500482,91.88232769,-0.230052901,-0.2279,-0.073873,-0.16509,0.18638,4.1894,-0.639871,0.16162,0.711013
molecule_1343,Train,Cl[C-](C(OCC)=O)C(OCC)=O,dimethylsulfoxide,C-Anion,18.19,-7.2,4,-4,2.6,0.6,-0.06989,0.21499,2.9249,-0.69748,0.21131,0.7886,203.2584253,92.28449153,-0.214693814,-0.202946,-0.111488,-0.1641,0.18657,3.9666,-0.632775,0.162295,0.735349
molecule_1344,Train,O=C([C-](OC)C(OC)=O)OC,dimethylsulfoxide,C-Anion,20.08,-7.2,4,-4,2.6,0.6,-0.06064,0.23247,3.677,-0.70777,0.17708,0.76486,218.4096341,79.55581761,-0.219345274,-0.219042,-0.075821,-0.15838,0.19133,4.531,-0.6339,0.128907,0.69405
molecule_1345,Train,Cl[CH-]S(=O)(C1=CC=CC=C1)=O,dimethylsulfoxide,C-Anion,28.27,-7.2,4,-4,2.6,0.6,-0.06897,0.12688,7.3484,-1.02043,0.25663,2.0922,203.2971299,73.79174397,-0.313006056,-0.316594,-0.268557,-0.14649,0.12351,7.6776,-1.169202,0.220095,2.553735
molecule_1346,Train,Br[CH-]S(=O)(C1=CC=CC=C1)=O,dimethylsulfoxide,C-Anion,23.9,-7.2,4,-4,2.6,0.6,-0.07519,0.12389,5.3619,-1.01711,0.25707,2.09881,204.7560735,74.96774451,-0.296529451,-0.293231,-0.252904,-0.15528,0.12291,7.1775,-1.150087,0.226082,2.553657
molecule_1347,Train,Cl[CH-]S(C1=CC=C(C#N)C=C1)(=O)=O,dimethylsulfoxide,C-Anion,25.59,-7.2,4,-4,2.6,0.6,-0.08994,0.08384,4.5155,-1.0057,0.26004,2.12814,205.1676536,72.89185732,-0.283110334,-0.286773,-0.23416,-0.1611,0.07881,5.3358,-1.171077,0.223956,2.553671
molecule_1348,Train,Cl[CH-]S(C1=CC=C([N+]([O-])=O)C=C1)(=O)=O,dimethylsulfoxide,C-Anion,24.88,-7.2,4,-4,2.6,0.6,-0.09259,0.0507,5.7936,-1.00381,0.26099,2.12934,205.5846266,73.10423453,-0.277891613,-0.281832,-0.229616,-0.16862,0.04631,5.2691,-1.171127,0.226197,2.548751
molecule_1349,Train,Cl[CH-]S(C1=CC=C(Cl)C=C1)(=O)=O,dimethylsulfoxide,C-Anion,26.9,-7.2,4,-4,2.6,0.6,-0.07612,0.11587,8.5414,-1.02016,0.26682,2.09692,206.9585239,76.46778659,-0.304423759,-0.311863,-0.264559,-0.15548,0.10519,8.3167,-1.171859,0.222537,2.562125
molecule_135,Train,C=C(N(O[Si](C)(C)C(C)(C)C)O[Si](C)(C)C(C)(C)C)C,dichloromethane,C-Pi,4.23,-0.7,-6.5,-1.3,1.3,2,-0.26641,0.05179,0.3981,-1.21939,0.26632,2.07709,237.7285171,128.2433628,-0.164276375,-0.158721,-0.126172,-0.32183,0.00434,1.1337,-0.660183,0.189026,0.587321
molecule_1353,Train,O=C([C-](C(OCC)=O)C1=CC=CC=C1)OCC,dimethylsulfoxide,C-Anion,15.93,-7.2,4,-4,2.6,0.6,-0.07615,0.16781,2.0004,-0.7271,0.23885,0.83663,226.6319814,116.9917698,-0.183967747,-0.183247,-0.140288,-0.16264,0.15027,2.1067,-0.687746,0.181885,0.7609
molecule_1354,Train,O=C([C-](C#N)C1=CC=CC=C1)OCC,dimethylsulfoxide,C-Anion,15.85,-7.2,4,-4,2.6,0.6,-0.07382,0.16796,3.1705,-0.72396,0.25311,0.83368,235.7574694,102.2686294,-0.163475293,-0.162563,-0.122056,-0.15735,0.14613,3.1173,-0.660007,0.187857,0.734165
molecule_1355,Train,N#C[C-](C#N)C1=CC=CC=C1,dimethylsulfoxide,C-Anion,15.58,-7.2,4,-4,2.6,0.6,-0.07255,0.15887,7.0062,-0.48592,0.22879,0.32442,228.5483937,83.91232789,-0.16605549,-0.165326,-0.111333,-0.15232,0.14163,7.5613,-0.53692,0.158214,0.334998
molecule_1356,Train,O=S([C-](C#N)C1=CC=CC=C1)(C2=CC=CC=C2)=O,dimethylsulfoxide,C-Anion,15.97,-7.2,4,-4,2.6,0.6,-0.08285,0.10642,3.8978,-0.9879,0.2559,2.15466,222.8378338,119.0895677,-0.156973385,-0.157519,-0.142463,-0.17169,0.09842,3.6985,-1.007061,0.173103,2.533299
molecule_1357,Train,O=S([C-](S(=O)(C1=CC=CC=C1)=O)C2=CC=CC=C2)(C3=CC=CC=C3)=O,dimethylsulfoxide,C-Anion,15.07,-7.2,4,-4,2.6,0.6,-0.11583,0.10251,6.875,-1.01733,0.26419,2.18682,230.7426432,145.8558429,-0.176792255,-0.17983,-0.185799,-0.20706,0.10087,8.7436,-1.51353,0.187048,2.613421
molecule_1358,Train,O=C(C1=CC=CC=C1)[C-](C(C2=CC=CC=C2)=O)C3=CC=CC=C3,dimethylsulfoxide,C-Anion,14.99,-7.2,4,-4,2.6,0.6,-0.08739,0.10992,4.5244,-0.67208,0.24537,0.53735,218.2578433,97.12369722,-0.161405029,-0.1618,-0.123218,-0.17081,0.11026,4.6261,-0.696675,0.174176,0.615871
molecule_1359,Test,CC(C)(C)P(C(C)(C)C)C1=CC=CC=C1,dichloromethane,P-Nucleophile,12.4,-0.7,-6.5,-1.3,1.3,2,-0.2623,0.01097,1.1052,-0.64402,0.23772,0.79484,227.8834531,91.02779453,-0.350118685,-0.351574,0.113125,-0.30327,0.01498,1.4696,-0.507087,0.158468,0.263403
molecule_136,Train,C=C(N(O[Si](C)(C)C)O[Si](C)(C)C)CCC(OC)=O,dichloromethane,C-Pi,3.84,-0.7,-6.5,-1.3,1.3,2,-0.26935,0.04958,1.1417,-1.21739,0.26674,2.00587,151.5648296,99.53446102,-0.1651475,-0.15352,-0.120524,-0.33326,-0.00225,1.675,-0.657001,0.197236,0.632897
molecule_1360,Train,COC(C=CC=C1OC)=C1P(C2=C(OC)C=CC=C2OC)C3=C(OC)C=CC=C3OC,dichloromethane,P-Nucleophile,15.19,-0.7,-6.5,-1.3,1.3,2,-0.22473,0.02711,2.8488,-0.56317,0.23235,0.89436,228.1424069,121.8688603,-0.215531581,-0.215354,0.135761,-0.27032,0.03029,1.4772,-0.492509,0.172622,0.606579
molecule_1361,Train,CC(C=C1)=CC(C)=C1P(C2=C(C)C=C(C)C=C2)C3=CC=C(C)C=C3C,dichloromethane,P-Nucleophile,14.88,-0.7,-6.5,-1.3,1.3,2,-0.25042,0.01289,0.8409,-0.65877,0.24195,0.81688,187.8442334,100.7245245,-0.208135524,-0.210625,0.136464,-0.29486,0.01905,0.4539,-0.518725,0.178466,0.415882
molecule_1363,Train,COC1=CC=CC=C1P(C2=CC=CC=C2OC)C3=CC=CC=C3OC,dichloromethane,P-Nucleophile,14.26,-0.7,-6.5,-1.3,1.3,2,-0.24184,0.01968,0.3644,-0.5608,0.23835,0.89439,208.1438074,94.49720283,-0.225156941,-0.225434,0.137221,-0.29052,0.01558,1.8278,-0.387099,0.167736,0.546707
molecule_1364,Train,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,dichloromethane,P-Nucleophile,8.56,-0.7,-6.5,-1.3,1.3,2,-0.25858,0.00747,0.4881,-0.65992,0.24229,0.81678,187.3563066,101.3246401,-0.226635478,-0.228925,0.139607,-0.30423,0.01071,0.3671,-0.512686,0.177363,0.408721
molecule_137,Train,C=C(Cl)C,dichloromethane,C-Pi,-3.65,-0.7,-6.5,-1.3,1.3,2,-0.3086,0.04269,1.5952,-0.66141,0.23892,-0.01945,204.2487965,69.93632287,-0.291937766,-0.249638,-0.105895,-0.3675,0.02493,2.0368,-0.511011,0.18371,0.199274
molecule_1379,Train,[O-]OC(C)(C)C,water,O-Nucleophile,14.29,-17.1,-8.8,5.6,0.1,0.6,-0.00202,0.2416,5.883,-0.7099,0.25465,0.30563,41.14729272,61.72093908,-0.472504942,-0.472373,-0.538552,-0.05525,0.28973,7.7925,-0.81508,0.210384,0.4442
molecule_138,Train,C=CC,dichloromethane,C-Pi,-2.41,-0.7,-6.5,-1.3,1.3,2,-0.31091,0.05218,0.3574,-0.67175,0.22948,-0.21042,150.1377729,71.9334327,-0.283343226,-0.288001,-0.107702,-0.36835,0.04915,0.6018,-0.492042,0.164659,-0.024026
molecule_1380,Train,[O-]OC(C)(C)C1=CC=CC=C1,water,O-Nucleophile,13.92,-17.1,-8.8,5.6,0.1,0.6,-0.02037,0.15062,9.5571,-0.69294,0.26072,0.29767,107.9650044,72.6771252,-0.463931138,-0.463836,-0.521327,-0.06856,0.12955,11.305,-0.791533,0.213991,0.344902
molecule_1381,Test,O=C(O[O-])CCCCCN1C(C(C=CC=C2)=C2C1=O)=O,water,O-Nucleophile,16.02,-17.1,-8.8,5.6,0.1,0.6,-0.03175,0.0058,33.359,-0.71381,0.24761,0.84971,41.37569651,62.06354476,-0.548474418,-0.54854,-0.550865,-0.10166,-2.00E-05,35.3609,-0.716134,0.166714,0.609456
molecule_1382,Train,[O-]OC(CC1=CC=CC=C1)=O,water,O-Nucleophile,15.63,-17.1,-8.8,5.6,0.1,0.6,-0.03978,0.1345,13.0185,-0.71348,0.25832,0.85927,43.16421229,64.74631844,-0.543478951,-0.543545,-0.542359,-0.10916,0.11212,14.4766,-0.705169,0.198799,0.545629
molecule_1383,Train,O=C(O[O-])C1=CC(Cl)=CC(Cl)=C1,water,O-Nucleophile,17.93,-17.1,-8.8,5.6,0.1,0.6,-0.0591,0.10473,13.4297,-0.69109,0.27068,0.8306,57.7803362,86.6705043,-0.513005683,-0.513135,-0.508913,-0.12558,0.07856,14.7254,-0.657428,0.19882,0.46855
molecule_1384,Train,O=C(O[O-])C1=CC=CC=C1C([O-])=O,water,O-Nucleophile,18.43,-17.1,-8.8,5.6,0.1,0.6,0.07308,0.26644,11.2932,-0.83102,0.22968,0.85791,48.40566327,72.60849491,-0.532483674,-0.532337,-0.57561,-0.00665,0.23099,13.8631,-0.758017,0.14806,0.743578
molecule_1385,Test,O=C(O[O-])C1=CC(Cl)=CC=C1,water,O-Nucleophile,18.19,-17.1,-8.8,5.6,0.1,0.6,-0.05158,0.11789,12.8208,-0.69455,0.26413,0.83091,51.00829295,76.51243943,-0.517071822,-0.517192,-0.517013,-0.11832,0.09335,14.2975,-0.672099,0.191103,0.479755
molecule_1386,Train,O=C(O[O-])C1=CC=C(F)C=C1,water,O-Nucleophile,17.99,-17.1,-8.8,5.6,0.1,0.6,-0.04714,0.13176,11.874,-0.69859,0.25301,0.8338,50.9920637,76.48809555,-0.523694696,-0.523783,-0.524257,-0.11532,0.10009,13.2761,-0.680146,0.166802,0.500644
molecule_1387,Train,O=C(O[O-])C1=CC=C([N+]([O-])=O)C=C1,water,O-Nucleophile,17.43,-17.1,-8.8,5.6,0.1,0.6,-0.06677,0.048,10.4705,-0.69015,0.25771,0.82063,51.09861015,76.64791523,-0.492622262,-0.492802,-0.491756,-0.13346,0.03804,11.2123,-0.64103,0.186226,0.835854
molecule_1388,Test,O=C(O[O-])C1=CC=C(OC)C=C1,water,O-Nucleophile,17.84,-17.1,-8.8,5.6,0.1,0.6,-0.04135,0.13832,15.6425,-0.70037,0.2497,0.83557,50.92351922,76.38527883,-0.523858114,-0.523946,-0.529588,-0.10879,0.11036,17.4819,-0.690536,0.167454,0.515948
molecule_1389,Train,O=C(O[O-])C1=CC(Cl)=C(OC)C=C1,water,O-Nucleophile,18.56,-17.1,-8.8,5.6,0.1,0.6,-0.04809,0.12731,16.3782,-0.6965,0.265,0.83486,51.01248123,76.51872185,-0.520294833,-0.520385,-0.52341,-0.11516,0.09622,18.0747,-0.680957,0.183883,0.508249
molecule_139,Train,C=CCCCC,dichloromethane,C-Pi,-2.77,-0.7,-6.5,-1.3,1.3,2,-0.31149,0.05789,0.3985,-0.63092,0.22815,-0.20452,192.8972114,69.43122483,-0.266249061,-0.273617,-0.115091,-0.36818,0.04806,0.6237,-0.463901,0.152345,-0.0665
molecule_1390,Train,O=C(O[O-])C1=CC=CC=C1,water,O-Nucleophile,18.57,-17.1,-8.8,5.6,0.1,0.6,-0.04326,0.13204,11.3096,-0.69905,0.24812,0.83181,50.96025611,76.44038417,-0.521432865,-0.521538,-0.5249,-0.10965,0.1107,13.1482,-0.686109,0.163699,0.490915
molecule_1391,Train,O=C1[CH-]C(NC(N1)=O)=O,dimethylsulfoxide,C-Anion,15.59,-7.2,4,-4,2.6,0.6,-0.08535,0.22521,2.473,-0.73566,0.40882,0.89291,209.9540561,73.31223659,-0.254269723,-0.255426,-0.20456,-0.19615,0.16453,1.879,-0.826172,0.287447,0.749607
molecule_1392,Train,O=C1[CH-]C(N(C)C(N1C)=O)=O,dimethylsulfoxide,C-Anion,17.46,-7.2,4,-4,2.6,0.6,-0.08693,0.21959,3.628,-0.73335,0.23598,0.90834,191.6259077,73.36620044,-0.247702687,-0.248651,-0.200524,-0.18983,0.16643,3.87,-0.831657,0.218311,0.746891
molecule_1393,Train,O=C1[CH-]C(NC(N1)=S)=O,dimethylsulfoxide,C-Anion,14.24,-7.2,4,-4,2.6,0.6,-0.09885,0.16821,2.0658,-0.71738,0.4219,0.66875,209.739171,72.95844374,-0.23870496,-0.23974,-0.190827,-0.20234,0.12201,0.4892,-0.805541,0.300649,0.721628
