Name,Train_test,SMILES,Solvent,Type,N,sol_PCA1,sol_PCA2,sol_PCA3,sol_PCA4,sol_PCA5,NS_HOMO,NS_LUMO,NS_DM,NS_EB,NS_EA_H,NS_EA_nonH,NS_DeltaG,N_TCA,N_BAD,N_fukui,N_fukui_Li,N_fukui_charge,NS_HOMO_PM6,NS_LUMO_PM6,NS_DM_PM6,NS_EB_PM6,NS_EA_H_PM6,NS_EA_nonH_PM6,NS_DeltaG_PM6
molecule_132,Train,C=C1CCCCCCCCCCCCCC1,dichloromethane,C-Pi,1.69,-0.7,-6.5,-1.3,1.3,2,-0.30055,0.05749,0.7942,-0.46357,0.23988,-0.01181,-0.001882,222.1793079,71.79541291,-0.249490306,-0.2532,-0.116654,-0.36045,0.0446,1.1398,-0.488973,0.161904,0.154818,-0.002975
molecule_1329,Train,O=C1OC(C)(C)OC([C-]1[I+]C2=CC=CC=C2)=O,dichloromethane,C-I,4.36,-0.7,-6.5,-1.3,1.3,2,-0.28744,-0.03112,5.0711,-0.71871,0.26872,1.03898,-0.016674,215.896134,102.7284104,-0.202302067,-0.197239,-0.076699,-0.37424,-0.07517,7.8171,-0.738681,0.200948,0.781853,-0.027364
molecule_133,Train,C=C(N(O[Si](C)(C)C)O[Si](C)(C)C)C,dichloromethane,C-Pi,4.76,-0.7,-6.5,-1.3,1.3,2,-0.26947,0.05139,1.0461,-1.21301,0.25999,2.00924,-0.004712,227.2572942,121.6928447,-0.165343418,-0.166166,-0.12837,-0.34742,-0.00817,2.0213,-0.654337,0.184068,0.626345,-0.004943
molecule_1330,Train,O=C1CC(C)(C)CC([C-]1[I+]C2=CC=CC=C2)=O,dichloromethane,C-I,6.18,-0.7,-6.5,-1.3,1.3,2,-0.27471,-0.02782,4.1177,-0.69378,0.27069,0.96743,-0.013518,211.446494,108.8473999,-0.185346536,-0.181513,-0.052579,-0.3555,-0.06263,1.9178,-0.668708,0.206389,0.646797,-0.012495
molecule_1331,Train,O=C([C-](C(N1C)=O)[I+]C2=CC=CC=C2)N(C)C1=O,dichloromethane,C-I,7.98,-0.7,-6.5,-1.3,1.3,2,-0.28221,-0.03327,7.8202,-0.71463,0.26948,1.03497,-0.015159,225.2086323,102.7333022,-0.19448665,-0.189784,-0.062648,-0.36685,-0.07472,10.3636,-0.683894,0.202754,0.733821,-0.023466
molecule_1332,Train,O=C1OC(C)CC([C-]1[I+]C2=CC=CC=C2)=O,dichloromethane,C-I,4.67,-0.7,-6.5,-1.3,1.3,2,-0.2814,-0.02888,4.2709,-0.69959,0.26933,1.00413,-0.016058,227.6572631,102.7986875,-0.322345471,-0.054301,-0.068314,-0.36316,-0.07,5.8521,-0.693892,0.206189,0.760651,-0.023371
molecule_1333,Train,O=S([CH-]S(=O)(C1=CC=CC=C1)=O)(C2=CC=CC=C2)=O,dimethylsulfoxide,C-Anion,15.68,-7.2,4,-4,2.6,0.6,-0.25953,0.0047,16.427,-1.14316,0.26242,2.15635,-0.090008,205.8232599,93.02819383,-0.257617846,-0.262338,-0.253572,-0.35865,-0.00633,17.6211,-1.669127,0.299654,2.687516,-0.103044
molecule_1334,Train,F[C-](S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,dimethylsulfoxide,C-Anion,17.46,-7.2,4,-4,2.6,0.6,-0.25169,-0.00989,11.4995,-1.00658,0.25715,2.08901,-0.090006,219.0085025,120.5528951,-0.267228694,-0.269225,-0.172788,-0.34839,-0.00886,18.0014,-1.345093,0.174337,2.628302,-0.100279
molecule_1335,Train,O=S([C-](OC)S(=O)(C1=CC=CC=C1)=O)(C2=CC=CC=C2)=O,dimethylsulfoxide,C-Anion,17.29,-7.2,4,-4,2.6,0.6,-0.23647,-0.00051,16.3391,-1.01368,0.26451,2.13047,-0.08828,193.4654865,79.0292583,-0.207221913,-0.210899,-0.11988,-0.34124,-0.00823,18.5607,-1.225288,0.169177,2.596963,-0.104673
molecule_1336,Train,O=S(C1=C(C=CC=C1)S2(=O)=O)([CH-]2)=O,dimethylsulfoxide,C-Anion,16.06,-7.2,4,-4,2.6,0.6,-0.24711,-0.0063,9.4173,-1.1512,0.27879,2.13552,-0.087066,210.556713,94.82066926,-0.254157309,-0.258392,-0.260498,-0.36116,-0.01616,10.4301,-1.657281,0.294433,2.646671,-0.101767
molecule_1337,Train,F[C-]1S(C2=C(C=CC=C2)S(=O)1=O)(=O)=O,dimethylsulfoxide,C-Anion,19.03,-7.2,4,-4,2.6,0.6,-0.25687,-0.01573,12.079,-0.9857,0.26066,2.06448,-0.088873,219.555941,81.23488219,-0.292777353,-0.293641,-0.178391,-0.35023,-0.02061,12.4265,-1.342651,0.164846,2.585104,-0.098852
molecule_1338,Train,O=S(C1=C(C=CC=C1)S2(=O)=O)([C-]2OC)=O,dimethylsulfoxide,C-Anion,17.36,-7.2,4,-4,2.6,0.6,-0.23999,-0.01266,10.4175,-1.08049,0.26005,1.53125,-0.114677,217.6465153,92.64809093,-0.213831796,-0.277555,-0.173992,-0.29908,-0.01742,16.1656,-0.869806,0.179522,1.35358,-0.096108
molecule_1339,Train,O=S([CH-]C(OCC)=O)(C1=CC=CC=C1)=O,dimethylsulfoxide,C-Anion,18.81,-7.2,4,-4,2.6,0.6,-0.2402,0.01215,9.317,-1.0322,0.26063,2.15776,-0.086032,153.72799,98.24316128,-0.261307348,-0.263487,-0.230186,-0.34856,-0.00782,10.1907,-1.257001,0.26059,2.611547,-0.100185
molecule_134,Train,C=C(N(O[Si](C)(C)C)O[Si](C)(C)C)C1=CC=CC=C1,dichloromethane,C-Pi,4.8,-0.7,-6.5,-1.3,1.3,2,-0.27127,-0.00086,1.2347,-1.21236,0.25874,2.00863,-0.006831,229.9765208,123.6030453,-0.162883707,-0.166139,-0.115263,-0.34574,-0.0129,2.5279,-0.655586,0.183725,0.634512,-0.006181
molecule_1340,Train,F[C-](C(OCC)=O)S(=O)(C1=CC=CC=C1)=O,dimethylsulfoxide,C-Anion,20.51,-7.2,4,-4,2.6,0.6,-0.23441,0.0065,10.2477,-1.0148,0.25923,2.11619,-0.086761,151.6589163,89.83025533,-0.227631426,-0.227645,-0.097712,-0.33919,-0.01113,10.098,-1.066916,0.170663,2.55856,-0.100662
molecule_1341,Train,O=S([C-](OC)C(OCC)=O)(C1=CC=CC=C1)=O,dimethylsulfoxide,C-Anion,19.15,-7.2,4,-4,2.6,0.6,-0.22488,0.00977,7.1681,-1.02432,0.25827,2.1336,-0.088056,250.6088895,150.0744053,-0.206041344,-0.208517,-0.090147,-0.32552,-0.00933,9.2189,-1.072428,0.169489,2.526251,-0.101316
molecule_1342,Train,F[C-](C(OCC)=O)C(OCC)=O,dimethylsulfoxide,C-Anion,20.63,-7.2,4,-4,2.6,0.6,-0.21655,0.07423,4.0104,-0.74594,0.22419,0.74261,-0.089894,153.1500482,91.88232769,-0.230052901,-0.2279,-0.073873,-0.33105,0.02393,5.3594,-0.698497,0.171832,0.718538,-0.104472
molecule_1343,Train,Cl[C-](C(OCC)=O)C(OCC)=O,dimethylsulfoxide,C-Anion,18.19,-7.2,4,-4,2.6,0.6,-0.22077,0.07604,3.8271,-0.73399,0.22451,0.79117,-0.089654,203.2584253,92.28449153,-0.214693814,-0.202946,-0.111488,-0.32573,0.02581,5.1246,-0.696975,0.171574,0.744948,-0.100688
molecule_1344,Train,O=C([C-](OC)C(OC)=O)OC,dimethylsulfoxide,C-Anion,20.08,-7.2,4,-4,2.6,0.6,-0.21256,0.08083,5.0575,-0.74821,0.19647,0.76513,-0.091333,218.4096341,79.55581761,-0.219345274,-0.219042,-0.075821,-0.32127,0.02761,6.2077,-0.703944,0.15519,0.697739,-0.100881
molecule_1345,Train,Cl[CH-]S(=O)(C1=CC=CC=C1)=O,dimethylsulfoxide,C-Anion,28.27,-7.2,4,-4,2.6,0.6,-0.22614,0.003,11.0148,-1.03584,0.25548,2.08769,-0.090416,203.2971299,73.79174397,-0.313006056,-0.316594,-0.268557,-0.30175,-0.00408,12.0681,-1.217091,0.231799,2.582666,-0.099275
molecule_1346,Train,Br[CH-]S(=O)(C1=CC=CC=C1)=O,dimethylsulfoxide,C-Anion,23.9,-7.2,4,-4,2.6,0.6,-0.23021,6.00E-05,9.0087,-1.03227,0.25544,2.09182,-0.090076,204.7560735,74.96774451,-0.296529451,-0.293231,-0.252904,-0.31018,-0.00426,11.0038,-1.217219,0.2381,2.584811,-0.099947
molecule_1347,Train,Cl[CH-]S(C1=CC=C(C#N)C=C1)(=O)=O,dimethylsulfoxide,C-Anion,25.59,-7.2,4,-4,2.6,0.6,-0.23075,-0.02869,7.8859,-1.02381,0.26124,2.11894,-0.080837,205.1676536,72.89185732,-0.283110334,-0.286773,-0.23416,-0.30384,-0.03303,9.7232,-1.21843,0.234313,2.584395,-0.092142
molecule_1348,Train,Cl[CH-]S(C1=CC=C([N+]([O-])=O)C=C1)(=O)=O,dimethylsulfoxide,C-Anion,24.88,-7.2,4,-4,2.6,0.6,-0.2316,-0.0562,9.3051,-1.02282,0.26998,2.11963,-0.078972,205.5846266,73.10423453,-0.277891613,-0.281832,-0.229616,-0.30593,-0.06044,9.4619,-1.21731,0.236518,2.580384,-0.089939
molecule_1349,Train,Cl[CH-]S(C1=CC=C(Cl)C=C1)(=O)=O,dimethylsulfoxide,C-Anion,26.9,-7.2,4,-4,2.6,0.6,-0.2276,-0.00519,12.4944,-1.03336,0.26235,2.0892,-0.084064,206.9585239,76.46778659,-0.304423759,-0.311863,-0.264559,-0.30283,-0.01675,13.0702,-1.220023,0.233252,2.592564,-0.092987
molecule_135,Train,C=C(N(O[Si](C)(C)C(C)(C)C)O[Si](C)(C)C(C)(C)C)C,dichloromethane,C-Pi,4.23,-0.7,-6.5,-1.3,1.3,2,-0.26975,0.0488,0.695,-1.22105,0.26276,2.07732,-0.003421,237.7285171,128.2433628,-0.164276375,-0.158721,-0.126172,-0.33025,-0.00706,1.5908,-0.663824,0.186948,0.575521,-0.005285
molecule_1353,Train,O=C([C-](C(OCC)=O)C1=CC=CC=C1)OCC,dimethylsulfoxide,C-Anion,15.93,-7.2,4,-4,2.6,0.6,-0.2126,0.03972,2.7433,-0.75346,0.23301,0.83182,-0.082353,226.6319814,116.9917698,-0.183967747,-0.183247,-0.140288,-0.30623,0.01407,4.8081,-0.731247,0.172138,0.779896,-0.094006
molecule_1354,Train,O=C([C-](C#N)C1=CC=CC=C1)OCC,dimethylsulfoxide,C-Anion,15.85,-7.2,4,-4,2.6,0.6,-0.21071,0.03908,3.8477,-0.73857,0.24893,0.83734,-0.080176,235.7574694,102.2686294,-0.163475293,-0.162563,-0.122056,-0.30014,0.01471,3.6986,-0.693091,0.179994,0.740114,-0.084562
molecule_1355,Train,N#C[C-](C#N)C1=CC=CC=C1,dimethylsulfoxide,C-Anion,15.58,-7.2,4,-4,2.6,0.6,-0.21059,0.03363,9.5439,-0.50322,0.23088,0.32821,-0.076752,228.5483937,83.91232789,-0.16605549,-0.165326,-0.111333,-0.29288,0.01446,10.033,-0.567375,0.161308,0.298922,-0.080852
molecule_1356,Train,O=S([C-](C#N)C1=CC=CC=C1)(C2=CC=CC=C2)=O,dimethylsulfoxide,C-Anion,15.97,-7.2,4,-4,2.6,0.6,-0.21534,-0.00333,4.3934,-1.01029,0.25747,2.15564,-0.085144,222.8378338,119.0895677,-0.156973385,-0.157519,-0.142463,-0.30457,-0.0126,5.2437,-1.068032,0.169691,2.568908,-0.087991
molecule_1357,Train,O=S([C-](S(=O)(C1=CC=CC=C1)=O)C2=CC=CC=C2)(C3=CC=CC=C3)=O,dimethylsulfoxide,C-Anion,15.07,-7.2,4,-4,2.6,0.6,-0.23854,-0.005,12.217,-1.028,0.2601,2.17903,-0.085889,230.7426432,145.8558429,-0.176792255,-0.17983,-0.185799,-0.33095,-0.00843,18.3355,-1.519064,0.170382,2.648371,-0.102977
molecule_1358,Train,O=C(C1=CC=CC=C1)[C-](C(C2=CC=CC=C2)=O)C3=CC=CC=C3,dimethylsulfoxide,C-Anion,14.99,-7.2,4,-4,2.6,0.6,-0.21366,-0.00286,6.6765,-0.71037,0.24167,0.53174,-0.080232,218.2578433,97.12369722,-0.161405029,-0.1618,-0.123218,-0.32412,0.00336,6.6109,-0.723646,0.158556,0.633101,-0.089383
molecule_1359,Test,CC(C)(C)P(C(C)(C)C)C1=CC=CC=C1,dichloromethane,P-Nucleophile,12.4,-0.7,-6.5,-1.3,1.3,2,-0.26698,0.00789,1.6433,-0.64493,0.23905,0.77623,-0.003692,227.8834531,91.02779453,-0.350118685,-0.351574,0.113125,-0.31312,0.00699,1.9848,-0.510832,0.158464,0.22779,-0.0052
molecule_136,Train,C=C(N(O[Si](C)(C)C)O[Si](C)(C)C)CCC(OC)=O,dichloromethane,C-Pi,3.84,-0.7,-6.5,-1.3,1.3,2,-0.27398,0.04411,1.6815,-1.21931,0.26345,2.00692,-0.007152,151.5648296,99.53446102,-0.1651475,-0.15352,-0.120524,-0.34491,-0.01259,1.8321,-0.658695,0.202606,0.652711,-0.009629
molecule_1360,Train,COC(C=CC=C1OC)=C1P(C2=C(OC)C=CC=C2OC)C3=C(OC)C=CC=C3OC,dichloromethane,P-Nucleophile,15.19,-0.7,-6.5,-1.3,1.3,2,-0.23993,0.01515,4.3169,-0.57248,0.24231,0.85579,-0.016645,228.1424069,121.8688603,-0.215531581,-0.215354,0.135761,-0.2983,0.00607,2.7853,-0.497418,0.185864,0.571856,-0.019692
molecule_1363,Train,COC1=CC=CC=C1P(C2=CC=CC=C2OC)C3=CC=CC=C3OC,dichloromethane,P-Nucleophile,14.26,-0.7,-6.5,-1.3,1.3,2,-0.25837,0.00604,2.5351,-0.60761,0.24582,0.85219,-0.008963,208.1438074,94.49720283,-0.225156941,-0.225434,0.137221,-0.31228,-0.0003,1.3229,-0.385029,0.179183,0.501394,-0.01518
molecule_1364,Train,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,dichloromethane,P-Nucleophile,8.56,-0.7,-6.5,-1.3,1.3,2,-0.26453,0.00236,0.6628,-0.66119,0.24225,0.80916,-0.006261,187.3563066,101.3246401,-0.226635478,-0.228925,0.139607,-0.31392,0.00239,0.1085,-0.51908,0.178644,0.394667,-0.005922
molecule_137,Train,C=C(Cl)C,dichloromethane,C-Pi,-3.65,-0.7,-6.5,-1.3,1.3,2,-0.31138,0.04196,1.9576,-0.66524,0.24171,-0.01863,-0.0021,204.2487965,69.93632287,-0.291937766,-0.249638,-0.105895,-0.37441,0.02126,2.462,-0.521352,0.190075,0.213694,-0.002688
molecule_1379,Train,[O-]OC(C)(C)C,water,O-Nucleophile,14.29,-17.1,-8.8,5.6,0.1,0.6,-0.18476,0.10848,8.1623,-0.76223,0.22676,0.2979,-0.102102,41.14729272,61.72093908,-0.472504942,-0.472373,-0.538552,-0.26907,0.09304,10.4972,-0.897442,0.168765,0.460785,-0.121616
molecule_138,Train,C=CC,dichloromethane,C-Pi,-2.41,-0.7,-6.5,-1.3,1.3,2,-0.3135,0.0496,0.439,-0.67499,0.23154,-0.21269,-0.00118,150.1377729,71.9334327,-0.283343226,-0.288001,-0.107702,-0.37314,0.04392,0.715,-0.500695,0.168671,-0.020511,-0.001216
molecule_1380,Train,[O-]OC(C)(C)C1=CC=CC=C1,water,O-Nucleophile,13.92,-17.1,-8.8,5.6,0.1,0.6,-0.19152,0.03032,12.9227,-0.74757,0.24651,0.29522,-0.098238,107.9650044,72.6771252,-0.463931138,-0.463836,-0.521327,-0.27412,0.00907,14.6308,-0.874333,0.19433,0.366694,-0.111925
molecule_1381,Test,O=C(O[O-])CCCCCN1C(C(C=CC=C2)=C2C1=O)=O,water,O-Nucleophile,16.02,-17.1,-8.8,5.6,0.1,0.6,-0.22266,-0.05136,37.6104,-0.72982,0.25474,0.86292,-0.113217,41.37569651,62.06354476,-0.548474418,-0.54854,-0.550865,-0.31481,-0.05549,39.5511,-0.824541,0.187399,0.640629,-0.129516
molecule_1382,Train,[O-]OC(CC1=CC=CC=C1)=O,water,O-Nucleophile,15.63,-17.1,-8.8,5.6,0.1,0.6,-0.22579,0.02392,16.0257,-0.72388,0.25304,0.86823,-0.104091,43.16421229,64.74631844,-0.543478951,-0.543545,-0.542359,-0.31584,0.00149,18.0692,-0.820401,0.206113,0.608351,-0.118516
molecule_1383,Train,O=C(O[O-])C1=CC(Cl)=CC(Cl)=C1,water,O-Nucleophile,17.93,-17.1,-8.8,5.6,0.1,0.6,-0.23121,-0.01537,17.3137,-0.70736,0.26893,0.85027,-0.093012,57.7803362,86.6705043,-0.513005683,-0.513135,-0.508913,-0.31454,-0.04084,19.8898,-0.798464,0.195794,0.557375,-0.106292
molecule_1384,Train,O=C(O[O-])C1=CC=CC=C1C([O-])=O,water,O-Nucleophile,18.43,-17.1,-8.8,5.6,0.1,0.6,-0.22028,0.02094,16.6879,-0.82644,0.23677,0.86706,-0.302173,48.40566327,72.60849491,-0.532483674,-0.532337,-0.57561,-0.3166,-0.01656,21.3039,-0.813518,0.165376,0.742174,-0.321962
molecule_1385,Test,O=C(O[O-])C1=CC(Cl)=CC=C1,water,O-Nucleophile,18.19,-17.1,-8.8,5.6,0.1,0.6,-0.22875,-0.00686,16.6579,-0.71261,0.26214,0.84897,-0.097519,51.00829295,76.51243943,-0.517071822,-0.517192,-0.517013,-0.31354,-0.03155,19.3723,-0.805455,0.182186,0.568939,-0.112394
molecule_1386,Train,O=C(O[O-])C1=CC=C(F)C=C1,water,O-Nucleophile,17.99,-17.1,-8.8,5.6,0.1,0.6,-0.22668,0.0042,15.3933,-0.71593,0.25281,0.8489,-0.099764,50.9920637,76.48809555,-0.523694696,-0.523783,-0.524257,-0.31282,-0.02806,17.9483,-0.809072,0.193758,0.582947,-0.11263
molecule_1387,Train,O=C(O[O-])C1=CC=C([N+]([O-])=O)C=C1,water,O-Nucleophile,17.43,-17.1,-8.8,5.6,0.1,0.6,-0.2315,-0.05889,14.4857,-0.70684,0.26877,0.84523,-0.092916,51.09861015,76.64791523,-0.492622262,-0.492802,-0.491756,-0.31551,-0.06873,16.2426,-0.794716,0.186473,0.843655,-0.104438
molecule_1388,Test,O=C(O[O-])C1=CC=C(OC)C=C1,water,O-Nucleophile,17.84,-17.1,-8.8,5.6,0.1,0.6,-0.22407,0.01151,20.1783,-0.72094,0.24763,0.8488,-0.106529,50.92351922,76.38527883,-0.523858114,-0.523946,-0.529588,-0.30989,-0.0195,23.1523,-0.81628,0.192211,0.599228,-0.11755
molecule_1389,Train,O=C(O[O-])C1=CC(Cl)=C(OC)C=C1,water,O-Nucleophile,18.56,-17.1,-8.8,5.6,0.1,0.6,-0.22632,0.00476,20.8713,-0.71733,0.26224,0.85019,-0.102602,51.01248123,76.51872185,-0.520294833,-0.520385,-0.52341,-0.3114,-0.02765,23.785,-0.811267,0.197216,0.593142,-0.115973
molecule_139,Train,C=CCCCC,dichloromethane,C-Pi,-2.77,-0.7,-6.5,-1.3,1.3,2,-0.31421,0.05489,0.5033,-0.63293,0.23091,-0.20657,-0.00136,192.8972114,69.43122483,-0.266249061,-0.273617,-0.115091,-0.37352,0.0421,0.732,-0.468899,0.155325,-0.063128,-0.001455
molecule_1390,Train,O=C(O[O-])C1=CC=CC=C1,water,O-Nucleophile,18.57,-17.1,-8.8,5.6,0.1,0.6,-0.2262,0.00177,15.1008,-0.71638,0.2467,0.84787,-0.102567,50.96025611,76.44038417,-0.521432865,-0.521538,-0.5249,-0.31183,-0.02187,17.987,-0.812876,0.165426,0.572917,-0.117399
molecule_1391,Train,O=C1[CH-]C(NC(N1)=O)=O,dimethylsulfoxide,C-Anion,15.59,-7.2,4,-4,2.6,0.6,-0.2361,0.07601,3.2944,-0.75471,0.42977,0.89904,-0.084462,209.9540561,73.31223659,-0.254269723,-0.255426,-0.20456,-0.34803,0.01737,2.9441,-0.840219,0.309291,0.749692,-0.08583
molecule_1392,Train,O=C1[CH-]C(N(C)C(N1C)=O)=O,dimethylsulfoxide,C-Anion,17.46,-7.2,4,-4,2.6,0.6,-0.23336,0.07572,4.9214,-0.75805,0.2356,0.91482,-0.081826,191.6259077,73.36620044,-0.247702687,-0.248651,-0.200524,-0.34227,0.02216,5.333,-0.848829,0.22203,0.743077,-0.089111
molecule_1393,Train,O=C1[CH-]C(NC(N1)=S)=O,dimethylsulfoxide,C-Anion,14.24,-7.2,4,-4,2.6,0.6,-0.2417,0.02929,2.606,-0.73894,0.43957,0.66918,-0.079955,209.739171,72.95844374,-0.23870496,-0.23974,-0.190827,-0.348,-0.02084,0.5587,-0.810067,0.317942,0.725042,-0.08251
molecule_1394,Train,O=C1[CH-]C(N(CC)C(N1CC)=S)=O,dimethylsulfoxide,C-Anion,14.9,-7.2,4,-4,2.6,0.6,-0.23817,0.02892,4.4688,-0.74369,0.24009,0.67337,-0.076329,205.4499787,72.9159981,-0.501318375,-0.040134,-0.18355,-0.3402,-0.01405,3.161,-0.823931,0.22789,0.722802,-0.086381
molecule_1395,Train,C=CCB1OC(C)(C)C(C)(C)O1,dichloromethane,C-B,-0.64,-0.7,-6.5,-1.3,1.3,2,-0.30687,0.05961,3.1539,-0.86118,0.26428,1.26217,-0.004585,204.9083644,67.52034671,-0.263959716,-0.267654,-0.113816,-0.36693,0.03148,3.6906,-0.546542,0.176562,0.385706,-0.006868
molecule_1396,Train,F[B-](F)(F)C\C=C,acetonitrile,C-B,5.29,-4.7,-4.7,-3.3,-0.3,4.3,-0.27554,0.07552,4.1931,-0.84387,0.2206,1.3262,-0.087594,206.0671023,68.62307647,-0.207590349,-0.210338,-0.166354,-0.34646,0.04962,5.4915,-0.472551,0.153809,0.412063,-0.094279
molecule_1397,Train,C=CC[B-]1(OC(C)(C)C(C)(C)O1)C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2,acetonitrile,C-B,8.71,-4.7,-4.7,-3.3,-0.3,4.3,-0.24592,0.00656,4.2395,-0.87356,0.25542,1.21113,-0.059425,206.0660455,67.51899209,-0.093573851,-0.09189,-0.148892,-0.3083,-0.01922,4.1406,-0.60309,0.177683,0.526903,-0.067939
molecule_1398,Train,C=CC[B-]1(OC(C)(C)C(C)(C)O1)C2=CC=CC=C2,acetonitrile,C-B,11.2,-4.7,-4.7,-3.3,-0.3,4.3,-0.23978,0.04462,4.0383,-0.87414,0.22676,1.11274,-0.071631,205.2602892,67.18596132,-0.087810352,-0.086353,-0.154341,-0.29857,0.026,4.8936,-0.60609,0.167614,0.392767,-0.078837
molecule_1399,Train,CC(O1)(C)C(C)(C)O[B-]1(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C/C=C/C,acetonitrile,C-B,9.49,-4.7,-4.7,-3.3,-0.3,4.3,-0.24039,0.00392,3.5647,-0.87205,0.25695,1.21136,-0.062183,224.3383444,93.86460945,-0.087537566,-0.085,-0.083285,-0.30385,-0.01931,3.0867,-0.606823,0.17332,0.527249,-0.067224
molecule_140,Train,CC1=CCCCC1,dichloromethane,C-Pi,0.08,-0.7,-6.5,-1.3,1.3,2,-0.28569,0.06372,0.3304,-0.64691,0.23376,-0.03582,-0.001188,219.3915899,92.59235857,-0.202552794,-0.205371,-0.066496,-0.33889,0.05342,0.7025,-0.515821,0.167347,0.101985,-0.002365
molecule_1400,Train,COC(C=C1)=CC=C1/C=C(C2=CC=CC=C2)/N3CCCC3,acetonitrile,C-Pi,11.99,-4.7,-4.7,-3.3,-0.3,4.3,-0.22274,0.0006,3.7354,-0.57332,0.24386,0.32215,-0.008182,221.0530242,101.5936841,-0.099901976,-0.101244,-0.101257,-0.30515,-0.00427,2.9036,-0.410958,0.176376,0.29188,-0.012381
molecule_1401,Train,C(/N1CCCC1)(C2=CC=CC=C2)=C\C3=CC=CC=C3,acetonitrile,C-Pi,11.66,-4.7,-4.7,-3.3,-0.3,4.3,-0.22897,-0.00338,4.0892,-0.51657,0.24425,0.2432,-0.007234,217.8143244,105.9283636,-0.123662725,-0.124784,-0.102528,-0.31082,-0.00474,3.3935,-0.438482,0.181067,0.224916,-0.009265
molecule_1402,Train,N#CC(C=C1)=CC=C1/C=C(C2=CC=CC=C2)/N3CCCC3,acetonitrile,C-Pi,10.63,-4.7,-4.7,-3.3,-0.3,4.3,-0.23463,-0.02737,11.4659,-0.4973,0.24934,0.34195,-0.011507,160.2301445,94.7332279,-0.128525888,-0.130127,-0.106686,-0.30517,-0.02467,11.1435,-0.546731,0.189987,0.302376,-0.012799
molecule_1403,Train,O=[N+](C(C=C1)=CC=C1/C=C(C2=CC=CC=C2)/N3CCCC3)[O-],acetonitrile,C-Pi,10.42,-4.7,-4.7,-3.3,-0.3,4.3,-0.23703,-0.05181,12.4161,-0.49004,0.26367,0.54938,-0.011652,160.2219857,94.86866853,-0.133623274,-0.134455,-0.107204,-0.30584,-0.05018,18.5792,-0.629844,0.197455,0.884067,-0.01761
molecule_1404,Train,C(/N1CCCCC1)(C2=CC=CC=C2)=C\C3=CC=CC=C3,acetonitrile,C-Pi,9.94,-4.7,-4.7,-3.3,-0.3,4.3,-0.23568,-0.00651,3.0111,-0.53182,0.24388,0.22538,-0.007074,158.7416928,97.88211829,-0.116389014,-0.117092,-0.093484,-0.31012,-0.00339,3.293,-0.435424,0.182061,0.227461,-0.00742
molecule_1405,Train,C(/N1CCOCC1)(C2=CC=CC=C2)=C\C3=CC=CC=C3,acetonitrile,C-Pi,8.78,-4.7,-4.7,-3.3,-0.3,4.3,-0.23817,-0.00885,1.6215,-0.63271,0.24433,0.22103,-0.008304,215.5036571,97.55571104,-0.11231229,-0.113283,-0.092551,-0.31601,-0.00583,1.3014,-0.479469,0.181167,0.204011,-0.010177
molecule_1406,Train,N1(CCCCC1)/C=C/C2=CC=CC=C2,acetonitrile,C-Pi,13.84,-4.7,-4.7,-3.3,-0.3,4.3,-0.23445,0.00708,3.6588,-0.52833,0.23699,0.06944,-0.00678,166.8022203,90.89707623,-0.122150141,-0.122956,-0.099335,-0.30312,-0.00326,3.7199,-0.425385,0.175139,0.144089,-0.012081
molecule_1407,Train,N1(CCOCC1)/C=C/C2=CC=CC=C2,acetonitrile,C-Pi,11.66,-4.7,-4.7,-3.3,-0.3,4.3,-0.23788,0.00537,1.8781,-0.6292,0.24038,0.06707,-0.008939,223.6363742,104.7862523,-0.119030002,-0.119731,-0.096284,-0.31021,-0.00301,1.2098,-0.482415,0.175812,0.12708,-0.010226
molecule_1408,Train,C=C(C1=CC=CC=C1)N2CCCCC2,acetonitrile,C-Pi,11.6,-4.7,-4.7,-3.3,-0.3,4.3,-0.25161,0.00589,1.7696,-0.55162,0.24294,0.17965,-0.004441,123.8024784,82.71824648,-0.18885055,-0.191441,-0.147717,-0.31934,-0.00017,2.4671,-0.564174,0.173268,0.235956,-0.006107
molecule_141,Train,C/C(C)=C/C,dichloromethane,C-Pi,0.65,-0.7,-6.5,-1.3,1.3,2,-0.28631,0.06743,0.2956,-0.65942,0.22808,-0.03777,-0.001271,221.7912145,100.1399461,-0.208608163,-0.211525,-0.064683,-0.34088,0.05252,0.7261,-0.512582,0.166416,0.121689,-0.004041
molecule_142,Train,C=C(C)C,dichloromethane,C-Pi,1.11,-0.7,-6.5,-1.3,1.3,2,-0.30258,0.05995,0.7352,-0.65566,0.22814,-0.02709,-0.001427,203.4954607,70.29074436,-0.269912233,-0.274586,-0.119425,-0.36012,0.04913,1.3907,-0.535643,0.172311,0.239657,-0.003747
molecule_1425,Train,Cl[O-],water,O-Nucleophile,14.5,-17.1,-8.8,5.6,0.1,0.6,-0.21484,0.13215,3.3003,-0.91586,0,-0.08414,-0.112628,45.23898804,67.85848206,-0.552538908,-0.548364,-0.613947,-0.31668,0.04744,4.9557,-0.99482,0,-0.00518,-0.121698
